"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue 1","dataValue 2","dataYear","dataNote","dataSource","seriesDescription","dataValue 3","dataValue 4","dataValue"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2016,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2017,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2018,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2023,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2024,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,38,"BLZ","Belize","Fibre","Submarine cable",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,38,"BLZ","Belize","Satellite","Submarine cable",2018,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,38,"BLZ","Belize","Fibre","Other",2023,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Satellite",2016,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Satellite",2017,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Satellite","Fibre",2018,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Submarine cable",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Submarine cable",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Submarine cable",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Fibre","Submarine cable",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,39,"BOL","Bolivia (Plurinational State of)","Submarine cable","Fibre",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana",,,2016,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana",,,2017,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana",,,2019,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana",,,2020,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana",,,2021,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana","Submarine cable","Fibre",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana","Submarine cable","Fibre",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,40,"BWA","Botswana","Fibre","Submarine cable",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,41,"BRB","Barbados",,,2022,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,41,"BRB","Barbados",,,2023,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar",,,2017,"Data not available yet","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Submarine cable","Fibre",2018,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Fibre","Submarine cable",2019,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Fibre","Submarine cable",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Submarine cable","Fibre",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Fibre","Submarine cable",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Fibre","Submarine cable",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,42,"MMR","Myanmar","Fibre","Submarine cable",2024,"","","International landing points",,,
