"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Direct subsidy from government",2001,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Cross-subsidy between own services (internal financing)",2005,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2006,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan","Universal service funds",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2001,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil","Universal service funds",2003,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2008,"","","","Cross-subsidy between own services (internal financing)","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2009,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2010,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2012,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2013,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2014,"","","","Universal service funds","Other",,,,,,,,
