seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,dataValue 1,dataValue 2,dataValue 3,dataValue 4,dataValue 5,dataValue 6,dataValue 7,dataValue 8,dataValue 9,dataValue 10,dataValue 11,source_file,dataValue 12,dataValue 13,dataValue 14
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2008,,,,Pay phones,Fixed telephony,Mobile telephony,Fixed wireless,Fixed broadband internet access,Dial-up internet access,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2009,,,,Pay phones,Fixed telephony,Fixed wireless,Mobile telephony,Dial-up internet access,Fixed broadband internet access,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2019,,,,Pay phones,Leased lines,Telephony interconnection,Internet interconnection,Fixed broadband internet access,Mobile telephony,Fixed telephony,Fixed wireless,Mobile broadband internet access,Pay-TV,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2020,,,,Mobile broadband internet access,Mobile telephony,Fixed telephony,Fixed wireless,Pay phones,Telephony interconnection,Fixed broadband internet access,Internet interconnection,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2021,,,,Fixed broadband internet access,Mobile telephony,Fixed telephony,Fixed wireless,Telephony interconnection,Internet interconnection,Pay phones,Mobile broadband internet access,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2022,,,,Mobile broadband internet access,Telephony interconnection,Fixed wireless,Fixed telephony,Mobile telephony,Fixed broadband internet access,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2024,,,,Fixed telephony,Mobile telephony,Telephony interconnection,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2008,,,,Telephony interconnection,Fixed telephony,Fixed wireless,Mobile telephony,Fixed broadband internet access,Dial-up internet access,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2009,,,,Fixed telephony,Fixed wireless,Mobile telephony,Fixed broadband internet access,Dial-up internet access,Telephony interconnection,Other ,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2010,,,,Mobile telephony,Dial-up internet access,Fixed broadband internet access,Fixed telephony,Fixed wireless,Telephony interconnection,Other ,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2012,,,,Mobile telephony,Fixed broadband internet access,Dial-up internet access,Fixed wireless,Fixed telephony,Internet interconnection,Telephony interconnection,Pay phones,Leased lines,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2013,,,,Mobile telephony,Dial-up internet access,Fixed broadband internet access,Fixed wireless,Fixed telephony,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,113,IND,India,,2014,,,,Fixed telephony,Fixed wireless,Mobile telephony,Dial-up internet access,Fixed broadband internet access,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
